2019-06-05T09:12:49.594Z [info] 	Starting TrueAutomation.IO client
2019-06-05T09:13:00.883Z [info] 	23 Entity: {"tag":"A","class":"black-link at-pipeline-item-name-link","id":null,"attrs":{"title":"pipJul_NOT_DELETE","href":"#pipelines/83d80fdf-812c-11e9-bee7-024662bd8dce"},"addr":"0.1.1.0.0.1.0.0.1.0.1.9.0.3.0","content":[],"cascade":[{"tag":"A","class":"black-link at-pipeline-item-name-link","id":null,"attrs":{"title":"pipJul_NOT_DELETE","href":"#pipelines/83d80fdf-812c-11e9-bee7-024662bd8dce"},"addr":"0.1.1.0.0.1.0.0.1.0.1.9.0.3.0","content":[],"cascade":[],"css":{"width":"auto","paddingTop":"0px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","borderWidth":"0px","borderBottom":"0px none rgb(0, 0, 0)","position":"static","borderTop":"0px none rgb(0, 0, 0)","paddingBottom":"0px","color":"rgb(0, 0, 0)","content":"normal","paddingRight":"0px","outline":"rgb(0, 0, 0) none 0px","maxWidth":"none","borderRadius":"0px","maxHeight":"none","padding":"0px","backgroundImage":"none","border":"0px none rgb(0, 0, 0)","zIndex":"auto","borderRight":"0px none rgb(0, 0, 0)","visibility":"visible","display":"inline","fontWeight":"400","paddingLeft":"0px","textAlign":"start","font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","opacity":"1","borderColor":"rgb(0, 0, 0)","backgroundColor":"rgba(0, 0, 0, 0)","textTransform":"none","overflow":"visible","textShadow":"none","lineHeight":"20px","height":"auto","borderLeft":"0px none rgb(0, 0, 0)","justifyContent":"normal"},"text_value":"pipJul_NOT_DELETE"},{"tag":"DIV","class":"object__name object__text at-pipeline-item-name","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1.9.0.3","content":[],"cascade":[],"css":{"maxHeight":"40px","borderRadius":"0px","paddingBottom":"0px","textShadow":"none","display":"-webkit-box","padding":"0px 20px 0px 0px","width":"262px","content":"normal","fontWeight":"400","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","borderRight":"0px none rgb(0, 0, 0)","paddingLeft":"0px","borderTop":"0px none rgb(0, 0, 0)","justifyContent":"normal","lineHeight":"20px","borderBottom":"0px none rgb(0, 0, 0)","height":"20px","textAlign":"start","paddingTop":"0px","borderWidth":"0px","textTransform":"none","maxWidth":"none","opacity":"1","color":"rgb(0, 0, 0)","overflow":"hidden","outline":"rgb(0, 0, 0) none 0px","borderColor":"rgb(0, 0, 0)","backgroundImage":"none","font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","paddingRight":"20px","border":"0px none rgb(0, 0, 0)","zIndex":"auto","backgroundColor":"rgba(0, 0, 0, 0)","position":"static","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","visibility":"visible","borderLeft":"0px none rgb(0, 0, 0)"},"text_value":null},{"tag":"DIV","class":"object at-object-list-row at-pipeline-item-row-10","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1.9.0","content":[],"cascade":[],"css":{"justifyContent":"normal","borderBottom":"0px none rgb(0, 0, 0)","opacity":"1","content":"normal","overflow":"visible","maxHeight":"none","padding":"0px","paddingRight":"0px","fontWeight":"400","background":"rgb(229, 229, 229) none repeat scroll 0% 0% / auto padding-box border-box","textAlign":"start","position":"relative","paddingLeft":"0px","lineHeight":"20px","display":"flex","height":"46px","backgroundColor":"rgb(229, 229, 229)","borderRadius":"0px","borderRight":"0px none rgb(0, 0, 0)","zIndex":"auto","border":"0px none rgb(0, 0, 0)","font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","visibility":"visible","borderLeft":"0px none rgb(0, 0, 0)","paddingTop":"0px","color":"rgb(0, 0, 0)","outline":"rgb(0, 0, 0) none 0px","textShadow":"none","paddingBottom":"0px","width":"1326px","maxWidth":"none","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","backgroundImage":"none","borderColor":"rgb(0, 0, 0)","textTransform":"none","borderTop":"0px none rgb(0, 0, 0)","borderWidth":"0px"},"text_value":null},{"tag":"DIV","class":null,"id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1.9","content":[],"cascade":[],"css":{"outline":"rgb(51, 51, 51) none 0px","position":"static","padding":"0px","borderLeft":"0px none rgb(51, 51, 51)","overflow":"visible","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","paddingBottom":"0px","textTransform":"none","paddingTop":"0px","opacity":"1","height":"46px","justifyContent":"normal","visibility":"visible","color":"rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","borderRadius":"0px","zIndex":"auto","fontWeight":"400","content":"normal","backgroundColor":"rgba(0, 0, 0, 0)","borderColor":"rgb(51, 51, 51)","borderBottom":"0px none rgb(51, 51, 51)","maxWidth":"none","textAlign":"start","border":"0px none rgb(51, 51, 51)","paddingLeft":"0px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","borderWidth":"0px","backgroundImage":"none","borderRight":"0px none rgb(51, 51, 51)","textShadow":"none","maxHeight":"none","lineHeight":"20px","paddingRight":"0px","width":"1326px","borderTop":"0px none rgb(51, 51, 51)","display":"block"},"text_value":null},{"tag":"DIV","class":"objects__body objects__body--with-pagination at-pipelines-list","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1","content":[],"cascade":[],"css":{"paddingBottom":"0px","content":"normal","border":"0px none rgb(51, 51, 51)","height":"618px","borderBottom":"0px none rgb(51, 51, 51)","textAlign":"start","borderTop":"0px none rgb(51, 51, 51)","position":"static","maxWidth":"none","borderColor":"rgb(51, 51, 51)","lineHeight":"20px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","width":"1326px","backgroundColor":"rgba(0, 0, 0, 0)","borderLeft":"0px none rgb(51, 51, 51)","borderWidth":"0px","outline":"rgb(51, 51, 51) none 0px","zIndex":"auto","textTransform":"none","padding":"7px 10px 0px 0px","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","maxHeight":"none","overflow":"auto scroll","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","visibility":"visible","justifyContent":"normal","borderRadius":"0px","borderRight":"0px none rgb(51, 51, 51)","paddingRight":"10px","paddingTop":"7px","opacity":"1","color":"rgb(51, 51, 51)","paddingLeft":"0px","backgroundImage":"none","display":"block","fontWeight":"400","textShadow":"none"},"text_value":null},{"tag":"DIV","class":"objects","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0","content":[],"cascade":[],"css":{"opacity":"1","fontWeight":"400","borderLeft":"0px none rgb(51, 51, 51)","paddingBottom":"0px","borderRadius":"0px","padding":"0px","content":"normal","display":"block","borderRight":"0px none rgb(51, 51, 51)","position":"static","width":"1326px","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","borderBottom":"0px none rgb(51, 51, 51)","maxHeight":"none","paddingTop":"0px","border":"0px none rgb(51, 51, 51)","borderWidth":"0px","color":"rgb(51, 51, 51)","visibility":"visible","textTransform":"none","lineHeight":"20px","borderTop":"0px none rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","justifyContent":"normal","paddingLeft":"0px","overflow":"visible","maxWidth":"none","textShadow":"none","zIndex":"auto","textAlign":"start","height":"678px","borderColor":"rgb(51, 51, 51)","backgroundImage":"none","paddingRight":"0px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","backgroundColor":"rgba(0, 0, 0, 0)","outline":"rgb(51, 51, 51) none 0px"},"text_value":null},{"tag":"DIV","class":"page-content__body pipelines-content","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1","content":[],"cascade":[],"css":{"opacity":"1","borderRight":"0px none rgb(51, 51, 51)","display":"block","borderWidth":"0px","visibility":"visible","paddingTop":"0px","textTransform":"none","borderColor":"rgb(51, 51, 51)","borderRadius":"0px","lineHeight":"20px","paddingLeft":"0px","maxHeight":"none","textAlign":"start","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","maxWidth":"none","backgroundImage":"none","fontWeight":"400","overflow":"auto","paddingRight":"0px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","justifyContent":"normal","borderTop":"0px none rgb(51, 51, 51)","outline":"rgb(51, 51, 51) none 0px","backgroundColor":"rgba(0, 0, 0, 0)","color":"rgb(51, 51, 51)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","content":"normal","textShadow":"none","zIndex":"auto","border":"0px none rgb(51, 51, 51)","height":"678px","borderBottom":"0px none rgb(51, 51, 51)","padding":"0px","paddingBottom":"0px","width":"1346px","position":"static","borderLeft":"0px none rgb(51, 51, 51)"},"text_value":null},{"tag":"DIV","class":"page-content page-content--fit pipelines","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0","content":[],"cascade":[],"css":{"padding":"0px","paddingTop":"0px","width":"1346px","textShadow":"none","border":"0px none rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","fontWeight":"400","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","backgroundImage":"none","borderLeft":"0px none rgb(51, 51, 51)","borderWidth":"0px","color":"rgb(51, 51, 51)","paddingLeft":"0px","borderRadius":"0px","content":"normal","display":"flex","borderTop":"0px none rgb(51, 51, 51)","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","maxHeight":"none","textTransform":"none","overflow":"visible","paddingRight":"0px","justifyContent":"normal","outline":"rgb(51, 51, 51) none 0px","backgroundColor":"rgba(0, 0, 0, 0)","textAlign":"start","opacity":"1","position":"static","lineHeight":"20px","paddingBottom":"0px","visibility":"visible","zIndex":"auto","borderRight":"0px none rgb(51, 51, 51)","borderBottom":"0px none rgb(51, 51, 51)","height":"786px","borderColor":"rgb(51, 51, 51)","maxWidth":"none"},"text_value":null},{"tag":"DIV","class":"wrapper-content","id":"content","attrs":{},"addr":"0.1.1.0.0.1.0","content":[],"cascade":[],"css":{"paddingBottom":"0px","justifyContent":"normal","height":"786px","textAlign":"start","borderLeft":"0px none rgb(51, 51, 51)","visibility":"visible","maxWidth":"none","backgroundImage":"none","content":"normal","fontWeight":"400","borderTop":"0px none rgb(51, 51, 51)","paddingLeft":"0px","borderColor":"rgb(51, 51, 51)","backgroundColor":"rgba(0, 0, 0, 0)","textTransform":"none","zIndex":"auto","borderWidth":"0px","opacity":"1","textShadow":"none","padding":"0px","borderBottom":"0px none rgb(51, 51, 51)","paddingTop":"0px","position":"relative","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","paddingRight":"0px","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","color":"rgb(51, 51, 51)","lineHeight":"20px","maxHeight":"none","width":"1346px","borderRight":"0px none rgb(51, 51, 51)","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","borderRadius":"0px","overflow":"visible","border":"0px none rgb(51, 51, 51)","outline":"rgb(51, 51, 51) none 0px","display":"block"},"text_value":null},{"tag":"DIV","class":"l-content-body","id":null,"attrs":{},"addr":"0.1.1.0.0.1","content":[],"cascade":[],"css":{"position":"static","padding":"0px","backgroundImage":"none","backgroundColor":"rgba(0, 0, 0, 0)","outline":"rgb(51, 51, 51) none 0px","overflow":"visible","paddingRight":"0px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","maxHeight":"none","borderWidth":"0px","borderColor":"rgb(51, 51, 51)","fontWeight":"400","borderBottom":"0px none rgb(51, 51, 51)","textTransform":"none","borderLeft":"0px none rgb(51, 51, 51)","paddingTop":"0px","textShadow":"none","width":"1346px","paddingBottom":"0px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","border":"0px none rgb(51, 51, 51)","borderRadius":"0px","borderRight":"0px none rgb(51, 51, 51)","height":"786px","textAlign":"start","display":"block","paddingLeft":"0px","lineHeight":"20px","opacity":"1","visibility":"visible","zIndex":"auto","content":"normal","maxWidth":"none","justifyContent":"normal","color":"rgb(51, 51, 51)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","borderTop":"0px none rgb(51, 51, 51)"},"text_value":null},{"tag":"DIV","class":"wrapper-content-box","id":"content-box","attrs":{},"addr":"0.1.1.0.0","content":[],"cascade":[],"css":{"font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","textTransform":"none","width":"1346px","maxHeight":"none","paddingRight":"0px","overflow":"visible","padding":"0px","borderRight":"0px none rgb(51, 51, 51)","backgroundImage":"none","borderRadius":"0px","fontWeight":"400","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","position":"static","textAlign":"start","backgroundColor":"rgba(0, 0, 0, 0)","paddingTop":"0px","height":"890px","border":"0px none rgb(51, 51, 51)","maxWidth":"none","display":"block","outline":"rgb(51, 51, 51) none 0px","borderBottom":"0px none rgb(51, 51, 51)","justifyContent":"normal","opacity":"1","content":"normal","lineHeight":"20px","visibility":"visible","paddingLeft":"0px","borderLeft":"0px none rgb(51, 51, 51)","borderColor":"rgb(51, 51, 51)","borderWidth":"0px","paddingBottom":"0px","zIndex":"auto","borderTop":"0px none rgb(51, 51, 51)","textShadow":"none","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","color":"rgb(51, 51, 51)"},"text_value":null},{"tag":"DIV","class":"page with-context-header","id":null,"attrs":{},"addr":"0.1.1.0","content":[],"cascade":[],"css":{"borderColor":"rgb(51, 51, 51)","justifyContent":"normal","position":"relative","overflow":"visible","padding":"0px","backgroundColor":"rgba(0, 0, 0, 0)","paddingTop":"0px","backgroundImage":"none","borderWidth":"0px","textTransform":"none","zIndex":"auto","outline":"rgb(51, 51, 51) none 0px","width":"1346px","fontWeight":"400","textAlign":"start","maxHeight":"none","content":"normal","visibility":"visible","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","borderBottom":"0px none rgb(51, 51, 51)","color":"rgb(51, 51, 51)","borderLeft":"0px none rgb(51, 51, 51)","display":"block","height":"890px","borderTop":"0px none rgb(51, 51, 51)","textShadow":"none","borderRight":"0px none rgb(51, 51, 51)","maxWidth":"none","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","paddingRight":"0px","lineHeight":"20px","opacity":"1","paddingLeft":"0px","border":"0px none rgb(51, 51, 51)","borderRadius":"0px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","paddingBottom":"0px"},"text_value":null},{"tag":"DIV","class":null,"id":"ec-main-container","attrs":{},"addr":"0.1.1","content":[],"cascade":[],"css":{"textShadow":"none","paddingLeft":"0px","width":"1346px","borderColor":"rgb(51, 51, 51)","padding":"0px","paddingBottom":"0px","borderLeft":"0px none rgb(51, 51, 51)","border":"0px none rgb(51, 51, 51)","height":"890px","outline":"rgb(51, 51, 51) none 0px","position":"static","borderTop":"0px none rgb(51, 51, 51)","visibility":"visible","backgroundColor":"rgba(0, 0, 0, 0)","borderRight":"0px none rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","fontWeight":"400","textAlign":"start","paddingRight":"0px","zIndex":"auto","color":"rgb(51, 51, 51)","backgroundImage":"none","lineHeight":"20px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","justifyContent":"normal","maxHeight":"none","borderWidth":"0px","opacity":"1","overflow":"visible","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","content":"normal","textTransform":"none","maxWidth":"none","borderBottom":"0px none rgb(51, 51, 51)","display":"block","paddingTop":"0px","borderRadius":"0px"},"text_value":null},{"tag":"BODY","class":"","id":null,"attrs":{},"addr":"0.1","content":[],"cascade":[],"css":{"maxWidth":"none","zIndex":"auto","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","color":"rgb(51, 51, 51)","maxHeight":"none","paddingBottom":"0px","position":"static","display":"block","borderBottom":"0px none rgb(51, 51, 51)","fontWeight":"400","textShadow":"none","justifyContent":"normal","visibility":"visible","width":"1346px","opacity":"1","borderLeft":"0px none rgb(51, 51, 51)","textTransform":"none","height":"890px","borderWidth":"0px","paddingRight":"0px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","border":"0px none rgb(51, 51, 51)","textAlign":"start","background":"rgb(255, 255, 255) none repeat scroll 0% 0% / auto padding-box border-box","borderColor":"rgb(51, 51, 51)","borderTop":"0px none rgb(51, 51, 51)","outline":"rgb(51, 51, 51) none 0px","borderRadius":"0px","backgroundImage":"none","padding":"0px","backgroundColor":"rgb(255, 255, 255)","borderRight":"0px none rgb(51, 51, 51)","content":"normal","overflow":"visible","lineHeight":"20px","paddingLeft":"0px","paddingTop":"0px"},"text_value":null},{"tag":"HTML","class":null,"id":null,"attrs":{"lang":"en-us"},"addr":"0","content":[],"cascade":[],"css":{"content":"normal","textTransform":"none","maxHeight":"none","padding":"0px","width":"1346px","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","fontFamily":"Times","textShadow":"none","borderWidth":"0px","outline":"rgb(0, 0, 0) none 0px","justifyContent":"normal","border":"0px none rgb(0, 0, 0)","textAlign":"start","color":"rgb(0, 0, 0)","paddingLeft":"0px","borderBottom":"0px none rgb(0, 0, 0)","display":"block","fontWeight":"400","zIndex":"auto","backgroundImage":"none","maxWidth":"none","paddingBottom":"0px","position":"static","borderRadius":"0px","backgroundColor":"rgba(0, 0, 0, 0)","paddingTop":"0px","overflow":"visible","borderLeft":"0px none rgb(0, 0, 0)","font":"normal normal 400 normal 16px / normal Times","borderColor":"rgb(0, 0, 0)","opacity":"1","height":"890px","visibility":"visible","borderRight":"0px none rgb(0, 0, 0)","paddingRight":"0px","borderTop":"0px none rgb(0, 0, 0)","lineHeight":"normal"},"text_value":null}],"css":{"width":"auto","paddingTop":"0px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","borderWidth":"0px","borderBottom":"0px none rgb(0, 0, 0)","position":"static","borderTop":"0px none rgb(0, 0, 0)","paddingBottom":"0px","color":"rgb(0, 0, 0)","content":"normal","paddingRight":"0px","outline":"rgb(0, 0, 0) none 0px","maxWidth":"none","borderRadius":"0px","maxHeight":"none","padding":"0px","backgroundImage":"none","border":"0px none rgb(0, 0, 0)","zIndex":"auto","borderRight":"0px none rgb(0, 0, 0)","visibility":"visible","display":"inline","fontWeight":"400","paddingLeft":"0px","textAlign":"start","font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","opacity":"1","borderColor":"rgb(0, 0, 0)","backgroundColor":"rgba(0, 0, 0, 0)","textTransform":"none","overflow":"visible","textShadow":"none","lineHeight":"20px","height":"auto","borderLeft":"0px none rgb(0, 0, 0)","justifyContent":"normal"},"text_value":"pipJul_NOT_DELETE"}
2019-06-05T09:13:02.183Z [info] 	23 Elements locator: {"value":"/*[1]/*[2]/*[2]/*[1]/*[1]/*[1]/*[1]/*[1]/*[1]/*[1]/*[1]","using":"xpath"}
2019-06-05T09:13:02.200Z [info] 	23 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[{"ELEMENT":"0.20920481118294787-6"}]}
2019-06-05T09:13:02.201Z [info] 	24 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-6/displayed:  {}
2019-06-05T09:13:02.216Z [info] 	25 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/element/0.20920481118294787-6/click:  {}
2019-06-05T09:13:12.265Z [info] 	26 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/window_handles:  {}
2019-06-05T09:13:12.270Z [info] 	27 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/window:  {"name":"CDwindow-866C4805BE77436BB48603905F6367C4"}
2019-06-05T09:13:12.275Z [info] 	28 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/window_handles:  {}
2019-06-05T09:13:12.279Z [info] 	29 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/goog/cdp/execute:  {"cmd":"Network.clearBrowserCookies","params":{}}
2019-06-05T09:13:12.283Z [info] 	30 Sending GET request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/url:  {}
2019-06-05T09:13:12.288Z [info] 	31 Sending DELETE request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/session_storage:  {}
2019-06-05T09:13:12.292Z [info] 	32 Sending DELETE request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/local_storage:  {}
2019-06-05T09:13:12.295Z [info] 	33 Sending POST request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d/url:  {"url":"about:blank"}
2019-06-05T09:13:12.321Z [info] 	34 Sending elements request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {"using":"xpath","value":"/html/body/*"}
2019-06-05T09:13:12.321Z [info] 	34 Elements locator: {"value":"/html/body/*","using":"xpath"}
2019-06-05T09:13:12.331Z [info] 	34 Elements response: {"sessionId":"90a00670caea3b007ce52498ba53b02d","status":0,"value":[]}
2019-06-05T09:13:12.333Z [info] 	35 Sending DELETE request to http://localhost:9516/session/90a00670caea3b007ce52498ba53b02d:  {}
2019-06-05T09:13:12.387Z [info] 	Sync elements
