2019-05-28T15:07:38.645Z [info] 	Starting TrueAutomation.IO client
2019-05-28T15:07:45.745Z [info] 	3 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-1/displayed:  {}
2019-05-28T15:07:45.757Z [info] 	4 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/execute:  {"script":"return (function(el, names){\n  return names.map(function(name){\n    return el[name]\n  });\n})(arguments[0], arguments[1]);\n","args":[{"ELEMENT":"0.31077128047845615-1"},["tagName","type"]]}
2019-05-28T15:07:45.763Z [info] 	5 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/execute:  {"script":"if (!arguments[0].readOnly){ arguments[0].value = '' }","args":[{"ELEMENT":"0.31077128047845615-1"}]}
2019-05-28T15:07:45.768Z [info] 	6 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-1/value:  {"value":["admin"]}
2019-05-28T15:07:45.840Z [info] 	7 Sending elements request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {"using":"xpath","value":"//input[@id='password']"}
2019-05-28T15:07:45.840Z [info] 	7 Elements locator: {"value":"//input[@id='password']","using":"xpath"}
2019-05-28T15:07:45.851Z [info] 	7 Elements response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":[{"ELEMENT":"0.31077128047845615-2"}]}
2019-05-28T15:07:45.852Z [info] 	8 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-2/displayed:  {}
2019-05-28T15:07:45.864Z [info] 	9 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/execute:  {"script":"return (function(el, names){\n  return names.map(function(name){\n    return el[name]\n  });\n})(arguments[0], arguments[1]);\n","args":[{"ELEMENT":"0.31077128047845615-2"},["tagName","type"]]}
2019-05-28T15:07:45.869Z [info] 	10 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/execute:  {"script":"if (!arguments[0].readOnly){ arguments[0].value = '' }","args":[{"ELEMENT":"0.31077128047845615-2"}]}
2019-05-28T15:07:45.874Z [info] 	11 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-2/value:  {"value":["changeme"]}
2019-05-28T15:07:45.919Z [info] 	12 Sending elements request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {"using":"xpath","value":"//button[text()='Login']"}
2019-05-28T15:07:45.920Z [info] 	12 Elements locator: {"value":"//button[text()='Login']","using":"xpath"}
2019-05-28T15:07:45.931Z [info] 	12 Elements response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":[{"ELEMENT":"0.31077128047845615-3"}]}
2019-05-28T15:07:45.932Z [info] 	13 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-3/displayed:  {}
2019-05-28T15:07:45.944Z [info] 	14 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-3/click:  {}
2019-05-28T15:07:48.988Z [info] 	15 Sending elements request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {"using":"xpath","value":"//div[@class='at-main-menu-btn ch-icon-container menu']"}
2019-05-28T15:07:48.988Z [info] 	15 Elements locator: {"value":"//div[@class='at-main-menu-btn ch-icon-container menu']","using":"xpath"}
2019-05-28T15:07:49.002Z [info] 	15 Elements response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":[{"ELEMENT":"0.31077128047845615-4"}]}
2019-05-28T15:07:49.004Z [info] 	16 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-4/displayed:  {}
2019-05-28T15:07:49.016Z [info] 	17 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-4/click:  {}
2019-05-28T15:07:49.100Z [info] 	18 Sending elements request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {"using":"xpath","value":"//a[@class='black-link nav-menu-category__item at-main-menu-pipelines']"}
2019-05-28T15:07:49.100Z [info] 	18 Elements locator: {"value":"//a[@class='black-link nav-menu-category__item at-main-menu-pipelines']","using":"xpath"}
2019-05-28T15:07:49.111Z [info] 	18 Elements response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":[{"ELEMENT":"0.31077128047845615-5"}]}
2019-05-28T15:07:49.112Z [info] 	19 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-5/displayed:  {}
2019-05-28T15:07:49.125Z [info] 	20 Sending POST request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-5/click:  {}
2019-05-28T15:07:49.172Z [info] 	21 Sending elements request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80:  {"using":"xpath","value":"//div/a[@title='pipJul']__ta__EC:content:choosePipeline__ta__"}
2019-05-28T15:07:49.583Z [info] 	21 Enum nodes response:  {"sessionId":"ea49d64bfdb970a10b14efd8a4
2019-05-28T15:07:49.632Z [info] 	21 Entity: {"tag":"A","class":"black-link at-pipeline-item-name-link","id":null,"attrs":{"title":"pipJul","href":"#pipelines/83d80fdf-812c-11e9-bee7-024662bd8dce"},"addr":"0.1.1.0.0.1.0.0.1.0.1.0.0.3.0","content":[],"cascade":[{"tag":"A","class":"black-link at-pipeline-item-name-link","id":null,"attrs":{"title":"pipJul","href":"#pipelines/83d80fdf-812c-11e9-bee7-024662bd8dce"},"addr":"0.1.1.0.0.1.0.0.1.0.1.0.0.3.0","content":[],"cascade":[],"css":{"font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","content":"normal","outline":"rgb(0, 0, 0) none 0px","textTransform":"none","color":"rgb(0, 0, 0)","paddingBottom":"0px","borderRight":"0px none rgb(0, 0, 0)","borderColor":"rgb(0, 0, 0)","paddingLeft":"0px","backgroundColor":"rgba(0, 0, 0, 0)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","position":"static","display":"inline","height":"auto","maxHeight":"none","lineHeight":"20px","textShadow":"none","padding":"0px","zIndex":"auto","paddingRight":"0px","justifyContent":"normal","paddingTop":"0px","maxWidth":"none","borderWidth":"0px","width":"auto","opacity":"1","borderBottom":"0px none rgb(0, 0, 0)","borderLeft":"0px none rgb(0, 0, 0)","fontWeight":"400","borderRadius":"0px","borderTop":"0px none rgb(0, 0, 0)","backgroundImage":"none","overflow":"visible","border":"0px none rgb(0, 0, 0)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","visibility":"visible","textAlign":"start"},"text_value":"pipJul"},{"tag":"DIV","class":"object__name object__text at-pipeline-item-name","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1.0.0.3","content":[],"cascade":[],"css":{"outline":"rgb(0, 0, 0) none 0px","visibility":"visible","borderBottom":"0px none rgb(0, 0, 0)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","paddingTop":"0px","maxHeight":"40px","borderWidth":"0px","border":"0px none rgb(0, 0, 0)","color":"rgb(0, 0, 0)","fontWeight":"400","lineHeight":"20px","overflow":"hidden","content":"normal","borderTop":"0px none rgb(0, 0, 0)","width":"262px","height":"20px","textAlign":"start","backgroundImage":"none","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","paddingRight":"20px","position":"static","textShadow":"none","paddingBottom":"0px","borderLeft":"0px none rgb(0, 0, 0)","backgroundColor":"rgba(0, 0, 0, 0)","font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","display":"-webkit-box","zIndex":"auto","borderRadius":"0px","justifyContent":"normal","textTransform":"none","borderRight":"0px none rgb(0, 0, 0)","padding":"0px 20px 0px 0px","paddingLeft":"0px","borderColor":"rgb(0, 0, 0)","opacity":"1","maxWidth":"none"},"text_value":null},{"tag":"DIV","class":"object at-object-list-row at-pipeline-item-row-1","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1.0.0","content":[],"cascade":[],"css":{"lineHeight":"20px","padding":"0px","color":"rgb(0, 0, 0)","borderColor":"rgb(0, 0, 0)","borderWidth":"0px","borderBottom":"0px none rgb(0, 0, 0)","font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","background":"rgb(229, 229, 229) none repeat scroll 0% 0% / auto padding-box border-box","display":"flex","visibility":"visible","textTransform":"none","paddingLeft":"0px","textAlign":"start","height":"46px","borderTop":"0px none rgb(0, 0, 0)","overflow":"visible","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","backgroundColor":"rgb(229, 229, 229)","width":"1326px","content":"normal","textShadow":"none","fontWeight":"400","maxWidth":"none","justifyContent":"normal","borderRight":"0px none rgb(0, 0, 0)","position":"relative","opacity":"1","outline":"rgb(0, 0, 0) none 0px","paddingRight":"0px","borderLeft":"0px none rgb(0, 0, 0)","backgroundImage":"none","border":"0px none rgb(0, 0, 0)","paddingTop":"0px","paddingBottom":"0px","zIndex":"auto","borderRadius":"0px","maxHeight":"none"},"text_value":null},{"tag":"DIV","class":null,"id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1.0","content":[],"cascade":[],"css":{"borderLeft":"0px none rgb(51, 51, 51)","color":"rgb(51, 51, 51)","borderBottom":"0px none rgb(51, 51, 51)","borderRadius":"0px","borderWidth":"0px","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","backgroundImage":"none","content":"normal","justifyContent":"normal","textAlign":"start","zIndex":"auto","textShadow":"none","display":"block","textTransform":"none","borderColor":"rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","lineHeight":"20px","position":"static","opacity":"1","backgroundColor":"rgba(0, 0, 0, 0)","padding":"0px","overflow":"visible","borderTop":"0px none rgb(51, 51, 51)","maxHeight":"none","paddingLeft":"0px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","outline":"rgb(51, 51, 51) none 0px","paddingRight":"0px","paddingTop":"0px","height":"46px","paddingBottom":"0px","borderRight":"0px none rgb(51, 51, 51)","fontWeight":"400","visibility":"visible","border":"0px none rgb(51, 51, 51)","maxWidth":"none","width":"1326px"},"text_value":null},{"tag":"DIV","class":"objects__body objects__body--with-pagination at-pipelines-list","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0.1","content":[],"cascade":[],"css":{"maxWidth":"none","overflow":"auto scroll","content":"normal","padding":"7px 10px 0px 0px","borderRight":"0px none rgb(51, 51, 51)","position":"static","visibility":"visible","display":"block","textAlign":"start","borderLeft":"0px none rgb(51, 51, 51)","paddingTop":"7px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","width":"1326px","height":"618px","borderBottom":"0px none rgb(51, 51, 51)","opacity":"1","textShadow":"none","outline":"rgb(51, 51, 51) none 0px","borderWidth":"0px","border":"0px none rgb(51, 51, 51)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","lineHeight":"20px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","fontWeight":"400","borderTop":"0px none rgb(51, 51, 51)","zIndex":"auto","borderColor":"rgb(51, 51, 51)","backgroundImage":"none","paddingLeft":"0px","color":"rgb(51, 51, 51)","borderRadius":"0px","maxHeight":"none","paddingBottom":"0px","textTransform":"none","backgroundColor":"rgba(0, 0, 0, 0)","paddingRight":"10px","justifyContent":"normal"},"text_value":null},{"tag":"DIV","class":"objects","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1.0","content":[],"cascade":[],"css":{"overflow":"visible","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","borderRight":"0px none rgb(51, 51, 51)","zIndex":"auto","textTransform":"none","border":"0px none rgb(51, 51, 51)","outline":"rgb(51, 51, 51) none 0px","borderWidth":"0px","justifyContent":"normal","borderRadius":"0px","maxWidth":"none","backgroundImage":"none","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","fontWeight":"400","borderBottom":"0px none rgb(51, 51, 51)","display":"block","position":"static","paddingRight":"0px","content":"normal","borderColor":"rgb(51, 51, 51)","height":"678px","paddingBottom":"0px","padding":"0px","textAlign":"start","color":"rgb(51, 51, 51)","lineHeight":"20px","paddingTop":"0px","borderLeft":"0px none rgb(51, 51, 51)","visibility":"visible","textShadow":"none","width":"1326px","maxHeight":"none","borderTop":"0px none rgb(51, 51, 51)","opacity":"1","backgroundColor":"rgba(0, 0, 0, 0)","paddingLeft":"0px"},"text_value":null},{"tag":"DIV","class":"page-content__body pipelines-content","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0.1","content":[],"cascade":[],"css":{"overflow":"auto","position":"static","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","zIndex":"auto","fontWeight":"400","content":"normal","borderBottom":"0px none rgb(51, 51, 51)","paddingTop":"0px","paddingLeft":"0px","justifyContent":"normal","borderRight":"0px none rgb(51, 51, 51)","borderLeft":"0px none rgb(51, 51, 51)","backgroundColor":"rgba(0, 0, 0, 0)","maxWidth":"none","borderTop":"0px none rgb(51, 51, 51)","border":"0px none rgb(51, 51, 51)","padding":"0px","lineHeight":"20px","borderRadius":"0px","height":"678px","paddingRight":"0px","textShadow":"none","outline":"rgb(51, 51, 51) none 0px","opacity":"1","textTransform":"none","maxHeight":"none","textAlign":"start","backgroundImage":"none","width":"1346px","borderWidth":"0px","borderColor":"rgb(51, 51, 51)","paddingBottom":"0px","color":"rgb(51, 51, 51)","display":"block","visibility":"visible","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif"},"text_value":null},{"tag":"DIV","class":"page-content page-content--fit pipelines","id":null,"attrs":{},"addr":"0.1.1.0.0.1.0.0","content":[],"cascade":[],"css":{"height":"786px","borderRadius":"0px","textAlign":"start","maxHeight":"none","borderTop":"0px none rgb(51, 51, 51)","width":"1346px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","zIndex":"auto","justifyContent":"normal","borderWidth":"0px","textTransform":"none","opacity":"1","paddingBottom":"0px","paddingLeft":"0px","outline":"rgb(51, 51, 51) none 0px","backgroundColor":"rgba(0, 0, 0, 0)","padding":"0px","content":"normal","display":"flex","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","border":"0px none rgb(51, 51, 51)","lineHeight":"20px","textShadow":"none","visibility":"visible","borderBottom":"0px none rgb(51, 51, 51)","paddingRight":"0px","maxWidth":"none","overflow":"visible","backgroundImage":"none","borderLeft":"0px none rgb(51, 51, 51)","borderColor":"rgb(51, 51, 51)","position":"static","color":"rgb(51, 51, 51)","fontWeight":"400","borderRight":"0px none rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","paddingTop":"0px"},"text_value":null},{"tag":"DIV","class":"wrapper-content","id":"content","attrs":{},"addr":"0.1.1.0.0.1.0","content":[],"cascade":[],"css":{"backgroundColor":"rgba(0, 0, 0, 0)","content":"normal","borderTop":"0px none rgb(51, 51, 51)","border":"0px none rgb(51, 51, 51)","borderWidth":"0px","maxWidth":"none","color":"rgb(51, 51, 51)","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","textTransform":"none","borderLeft":"0px none rgb(51, 51, 51)","position":"relative","overflow":"visible","borderRight":"0px none rgb(51, 51, 51)","opacity":"1","paddingLeft":"0px","paddingTop":"0px","outline":"rgb(51, 51, 51) none 0px","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","visibility":"visible","textShadow":"none","width":"1346px","display":"block","zIndex":"auto","borderRadius":"0px","backgroundImage":"none","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","paddingBottom":"0px","padding":"0px","maxHeight":"none","borderBottom":"0px none rgb(51, 51, 51)","justifyContent":"normal","lineHeight":"20px","paddingRight":"0px","fontWeight":"400","textAlign":"start","borderColor":"rgb(51, 51, 51)","height":"786px"},"text_value":null},{"tag":"DIV","class":"l-content-body","id":null,"attrs":{},"addr":"0.1.1.0.0.1","content":[],"cascade":[],"css":{"borderRadius":"0px","border":"0px none rgb(51, 51, 51)","overflow":"visible","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","fontWeight":"400","padding":"0px","borderBottom":"0px none rgb(51, 51, 51)","borderRight":"0px none rgb(51, 51, 51)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","width":"1346px","position":"static","textAlign":"start","textTransform":"none","backgroundImage":"none","opacity":"1","visibility":"visible","paddingTop":"0px","zIndex":"auto","borderColor":"rgb(51, 51, 51)","backgroundColor":"rgba(0, 0, 0, 0)","borderLeft":"0px none rgb(51, 51, 51)","height":"786px","content":"normal","maxHeight":"none","outline":"rgb(51, 51, 51) none 0px","paddingRight":"0px","borderTop":"0px none rgb(51, 51, 51)","textShadow":"none","color":"rgb(51, 51, 51)","display":"block","justifyContent":"normal","lineHeight":"20px","paddingBottom":"0px","paddingLeft":"0px","maxWidth":"none","borderWidth":"0px"},"text_value":null},{"tag":"DIV","class":"wrapper-content-box","id":"content-box","attrs":{},"addr":"0.1.1.0.0","content":[],"cascade":[],"css":{"borderRight":"0px none rgb(51, 51, 51)","content":"normal","paddingLeft":"0px","color":"rgb(51, 51, 51)","lineHeight":"20px","paddingTop":"0px","position":"static","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","textShadow":"none","borderBottom":"0px none rgb(51, 51, 51)","fontWeight":"400","width":"1346px","justifyContent":"normal","visibility":"visible","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","borderLeft":"0px none rgb(51, 51, 51)","borderWidth":"0px","display":"block","backgroundColor":"rgba(0, 0, 0, 0)","border":"0px none rgb(51, 51, 51)","borderColor":"rgb(51, 51, 51)","overflow":"visible","textAlign":"start","maxWidth":"none","height":"890px","paddingBottom":"0px","outline":"rgb(51, 51, 51) none 0px","paddingRight":"0px","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","borderRadius":"0px","opacity":"1","textTransform":"none","maxHeight":"none","padding":"0px","backgroundImage":"none","borderTop":"0px none rgb(51, 51, 51)","zIndex":"auto"},"text_value":null},{"tag":"DIV","class":"page with-context-header","id":null,"attrs":{},"addr":"0.1.1.0","content":[],"cascade":[],"css":{"backgroundColor":"rgba(0, 0, 0, 0)","padding":"0px","paddingRight":"0px","textAlign":"start","color":"rgb(51, 51, 51)","textTransform":"none","opacity":"1","position":"relative","border":"0px none rgb(51, 51, 51)","height":"890px","fontWeight":"400","textShadow":"none","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","borderWidth":"0px","lineHeight":"20px","width":"1346px","outline":"rgb(51, 51, 51) none 0px","borderColor":"rgb(51, 51, 51)","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","overflow":"visible","borderRadius":"0px","maxHeight":"none","paddingLeft":"0px","borderBottom":"0px none rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","justifyContent":"normal","content":"normal","zIndex":"auto","borderTop":"0px none rgb(51, 51, 51)","paddingBottom":"0px","backgroundImage":"none","visibility":"visible","borderRight":"0px none rgb(51, 51, 51)","display":"block","maxWidth":"none","borderLeft":"0px none rgb(51, 51, 51)","paddingTop":"0px"},"text_value":null},{"tag":"DIV","class":null,"id":"ec-main-container","attrs":{},"addr":"0.1.1","content":[],"cascade":[],"css":{"zIndex":"auto","visibility":"visible","border":"0px none rgb(51, 51, 51)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","justifyContent":"normal","borderColor":"rgb(51, 51, 51)","outline":"rgb(51, 51, 51) none 0px","lineHeight":"20px","display":"block","borderTop":"0px none rgb(51, 51, 51)","paddingRight":"0px","borderWidth":"0px","maxHeight":"none","borderRight":"0px none rgb(51, 51, 51)","borderBottom":"0px none rgb(51, 51, 51)","overflow":"visible","content":"normal","paddingBottom":"0px","textAlign":"start","backgroundColor":"rgba(0, 0, 0, 0)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","maxWidth":"none","borderRadius":"0px","padding":"0px","paddingTop":"0px","height":"890px","backgroundImage":"none","width":"1346px","textTransform":"none","color":"rgb(51, 51, 51)","fontWeight":"400","textShadow":"none","paddingLeft":"0px","borderLeft":"0px none rgb(51, 51, 51)","opacity":"1","position":"static"},"text_value":null},{"tag":"BODY","class":"","id":null,"attrs":{},"addr":"0.1","content":[],"cascade":[],"css":{"opacity":"1","borderLeft":"0px none rgb(51, 51, 51)","borderBottom":"0px none rgb(51, 51, 51)","borderWidth":"0px","backgroundColor":"rgb(255, 255, 255)","outline":"rgb(51, 51, 51) none 0px","textTransform":"none","paddingBottom":"0px","lineHeight":"20px","visibility":"visible","justifyContent":"normal","borderTop":"0px none rgb(51, 51, 51)","borderRight":"0px none rgb(51, 51, 51)","overflow":"visible","fontWeight":"400","paddingTop":"0px","background":"rgb(255, 255, 255) none repeat scroll 0% 0% / auto padding-box border-box","display":"block","font":"normal normal 400 normal 14px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","color":"rgb(51, 51, 51)","textAlign":"start","maxHeight":"none","borderColor":"rgb(51, 51, 51)","maxWidth":"none","content":"normal","zIndex":"auto","width":"1346px","position":"static","backgroundImage":"none","padding":"0px","paddingRight":"0px","height":"890px","borderRadius":"0px","paddingLeft":"0px","textShadow":"none","border":"0px none rgb(51, 51, 51)"},"text_value":null},{"tag":"HTML","class":null,"id":null,"attrs":{"lang":"en-us"},"addr":"0","content":[],"cascade":[],"css":{"backgroundColor":"rgba(0, 0, 0, 0)","paddingRight":"0px","padding":"0px","color":"rgb(0, 0, 0)","borderTop":"0px none rgb(0, 0, 0)","maxWidth":"none","outline":"rgb(0, 0, 0) none 0px","overflow":"visible","lineHeight":"normal","borderLeft":"0px none rgb(0, 0, 0)","opacity":"1","position":"static","maxHeight":"none","border":"0px none rgb(0, 0, 0)","width":"1346px","paddingBottom":"0px","backgroundImage":"none","justifyContent":"normal","zIndex":"auto","textTransform":"none","borderBottom":"0px none rgb(0, 0, 0)","display":"block","borderColor":"rgb(0, 0, 0)","fontWeight":"400","height":"890px","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","font":"normal normal 400 normal 16px / normal Times","fontFamily":"Times","content":"normal","visibility":"visible","paddingTop":"0px","borderWidth":"0px","borderRadius":"0px","textAlign":"start","borderRight":"0px none rgb(0, 0, 0)","textShadow":"none","paddingLeft":"0px"},"text_value":null}],"css":{"font":"normal normal 400 normal 16px / 20px \"Helvetica Neue\", Helvetica, Arial, sans-serif","content":"normal","outline":"rgb(0, 0, 0) none 0px","textTransform":"none","color":"rgb(0, 0, 0)","paddingBottom":"0px","borderRight":"0px none rgb(0, 0, 0)","borderColor":"rgb(0, 0, 0)","paddingLeft":"0px","backgroundColor":"rgba(0, 0, 0, 0)","background":"rgba(0, 0, 0, 0) none repeat scroll 0% 0% / auto padding-box border-box","position":"static","display":"inline","height":"auto","maxHeight":"none","lineHeight":"20px","textShadow":"none","padding":"0px","zIndex":"auto","paddingRight":"0px","justifyContent":"normal","paddingTop":"0px","maxWidth":"none","borderWidth":"0px","width":"auto","opacity":"1","borderBottom":"0px none rgb(0, 0, 0)","borderLeft":"0px none rgb(0, 0, 0)","fontWeight":"400","borderRadius":"0px","borderTop":"0px none rgb(0, 0, 0)","backgroundImage":"none","overflow":"visible","border":"0px none rgb(0, 0, 0)","fontFamily":"\"Helvetica Neue\", Helvetica, Arial, sans-serif","visibility":"visible","textAlign":"start"},"text_value":"pipJul"}
2019-05-28T15:07:50.772Z [info] 	21 Elements locator: {"value":"/*[1]/*[2]/*[2]/*[1]/*[1]/*[1]/*[1]/*[1]/*[1]/*[1]/*[1]","using":"xpath"}
2019-05-28T15:07:50.785Z [info] 	21 Elements response: {"sessionId":"ea49d64bfdb970a10b14efd8a4c3fd80","status":0,"value":[{"ELEMENT":"0.31077128047845615-6"}]}
2019-05-28T15:07:50.787Z [info] 	22 Sending GET request to http://localhost:9516/session/ea49d64bfdb970a10b14efd8a4c3fd80/element/0.31077128047845615-6/displayed:  {}
